dealname,dealstage,closedate,associated_contact
GlAwCzQmsPG,Closed Won,06-08-2019,hckFBekvrAv
AkCnAOxdjjS,Closed Won,08-05-2017,tBVVwnJOdnM
JlbjZgpCNZv,Closed Won,12-08-2018,cOOYrUOKeAX
CBOdZXZcqUy,Pending Response,12-14-2017,zfvCryfyDSb
hFdUKCOnkvN,Pending Contract,10-24-2020,IRSHqcMiLdQ
TGzSzTRuQct,Pending Response,09-02-2021,LPXocnCxjew
TDEuAYbgeyh,Closed Won,02-09-2021,hajAnoiZwpT
bltjIqTiVQP,Pending Response,09-23-2022,PtpRPtyzemW
AVZpalOSrCr,Pending Contract,07-01-2020,pLjQFzXOuWV
uzFmvMuDEHo,Closed Won,01-16-2021,VXdDHYVPJSH
wuVEwzrFTvO,Pending Response,10-31-2017,qIvYCVPfQVz
rolSzdyuPtd,Closed Won,08-03-2018,ZxinJtmVfHC
zObBvyIMzQN,Pending Contract,03-24-2018,SSPWhqlpJYo
GFJtTuQALtJ,Closed Won,09-10-2018,YWumYaupXVj
BvDVMLQrsIz,Pending Contract,04-12-2019,KyEBiFZxWQl
lKKmzXlIjLI,Pending Contract,07-15-2017,nNDeSSlVmQg
iBciwoMdeKZ,Closed Won,03-10-2022,oXMJFFscrYz
WFzGFCZcmbh,Pending Contract,01-31-2020,syFFLwxIxDC
VjVmHeVTUhF,Closed Won,01-10-2019,oTjDgsSiyCZ
ivlHIbZCOKj,Pending Response,12-27-2022,IGNUWmopUZX
oJDCPkwrexB,Closed Won,08-12-2020,fjvtTfJyviV
BXhovVyCvOd,Pending Response,09-30-2018,uFUtRPOvEMx
AdEYaPEuQLK,Pending Contract,01-02-2021,hOfJGSRWPiS
UejNCRUIXBn,Pending Contract,09-25-2018,JVEgyLXInWs
hDbhZpJDHiQ,Closed Won,04-09-2020,sCzyUhoWhsj
FIlnBOdxnPB,Pending Response,09-09-2018,GPvJFgYGecc
ZSWMNlSvZTL,Closed Won,09-19-2022,jItxxJBWJZO
UElbRiNDHxd,Closed Won,03-26-2021,dGPtkuNbiYs
HmYJIJbBkur,Pending Response,07-25-2020,vSncEhZGmSN
gJzjJlFlEIE,Pending Response,06-16-2020,bDosSlwOXQp
rGZbKhLYzXB,Pending Response,10-21-2019,RqvRSLTnkiw
goTkscbiuFL,Pending Response,01-17-2021,wIdBryNNcLX
jkcSEEnMwbH,Pending Response,04-01-2020,AgTWhgoyuaI
AhukwcxpJbv,Closed Won,11-13-2022,KhIuViTYRLN
ipcPPDFZPmY,Pending Contract,11-02-2021,qdNVwasDECc
KohVIHVUOWn,Closed Won,03-14-2018,KhIuViTYRLN
dWUolrIghnv,Pending Contract,04-29-2020,MpLiehbCLKy
tzoFZJOpbKD,Pending Contract,06-23-2021,WVgTGBaqjCN
oYMqiuYFTiI,Closed Won,10-16-2018,qdNVwasDECc
ZZmVWjOmPZT,Pending Response,07-11-2019,HMZHiXJkyil
pGTNQQmJPOE,Pending Contract,07-19-2020,PxCVftUtZpW
GkusrgzlPdk,Pending Contract,02-12-2022,ulVAqfLjfmD
GUExhOjerTX,Pending Response,06-03-2018,UBltgKdAWTa
PlHXciIJTUh,Pending Contract,04-05-2017,bXrotWKCKMe
UjzTmMYTbry,Pending Response,12-28-2019,CRCtXdqEgdP
YkAOtaDnvRN,Pending Contract,05-17-2020,TJRHMLWKioi
vZVaEQbCTYQ,Pending Response,12-04-2017,vTFgjGrZkRm
YsWFHGzEoME,Closed Won,01-26-2018,AKpYUzVwHRa
JMwGBSpehcS,Pending Contract,09-29-2017,ZYCSOJNxqLP
wGKNvReJOso,Closed Won,08-17-2017,CnxVPXoNcGV
eqYhDxrOZkA,Pending Response,03-31-2021,jnyvsqlMFyE
RudZikUFNOW,Pending Contract,10-28-2017,uNjXMNCDQOG
bZYofQMciDD,Closed Won,01-13-2017,IRSHqcMiLdQ
PHwMdoHibli,Closed Won,05-20-2019,JrfDqUQYxsO
